ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: navigation. CATEGORY: software usability. OPINION: easy. SENTIMENT: positive #####  . navigation is easy . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . if you buy this , you are jumping right into a hardware issue . ##### IAIO
ASPECT: battery. CATEGORY: battery designfeatures. OPINION: null. SENTIMENT: negative #####  . battery is not a unibody aluminum . ##### EAIO
ASPECT: device. CATEGORY: laptop general. OPINION: recommend. SENTIMENT: positive #####  . i recommend device for those who want to use google play store apps in chrome . ##### EAEO
ASPECT: keys. CATEGORY: keyboard general. OPINION: unproductive. SENTIMENT: negative #####  . the keys are unproductive . ##### EAEO
ASPECT: touchscreen. CATEGORY: display designfeatures. OPINION: responsive. SENTIMENT: positive #####  . touchscreen is really responsive . ##### EAEO
ASPECT: backlit, keyboard. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: comfortably, comfortably. SENTIMENT: positive, positive #####  . i sit somewhere between being a writer and a programmer , and this has comfortably fit into both categories so far ( programming projects are typically at a desk , so the backlit keyboard has been a nice bonus ). ##### EAEO
ASPECT: computer, computer. CATEGORY: laptop general, laptop general. OPINION: functional, not the greatest. SENTIMENT: neutral, neutral #####  . this computer is functional , but not the greatest . ##### EAEO
ASPECT: production quality. CATEGORY: laptop quality. OPINION: null. SENTIMENT: positive #####  . the production quality seems exceptional . ##### EAIO
ASPECT: null, null. CATEGORY: laptop general, laptop general. OPINION: good, satisfied. SENTIMENT: positive, positive #####  . i am still very much satisfied with the purchase , and the overall good quality of the product , even if it doesn ' t last as long as i hoped . ##### IAEO
ASPECT: back lit keyboard. CATEGORY: keyboard designfeatures. OPINION: like. SENTIMENT: positive #####  . i like the back lit keyboard . ##### EAEO
ASPECT: display panel on. CATEGORY: display quality. OPINION: warped. SENTIMENT: negative #####  . the display panel on my asus vivobook is warped . ##### EAEO
ASPECT: system. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: positive #####  . the system is lightning fast and very stable . ##### EAIO
ASPECT: asus flip 302. CATEGORY: laptop general. OPINION: null. SENTIMENT: positive #####  . the asus flip 302 is exactly what i wanted and it performs as it should . ##### EAIO
ASPECT: microsoft office. CATEGORY: software operationperformance. OPINION: drawback. SENTIMENT: negative #####  . the drawback for me is that microsoft office is not compatible with the version of excel that comes with the computer . ##### EAEO
ASPECT: package. CATEGORY: shipping general. OPINION: null. SENTIMENT: positive #####  . i was very concerned when i saw the package , it looked like the bottom of the box had been crushed in on both sides . ##### EAIO
ASPECT: chrome os because. CATEGORY: os quality. OPINION: null. SENTIMENT: negative #####  . chrome os because it is soo limited in what you can do with it . ##### EAIO
ASPECT: ui. CATEGORY: software designfeatures. OPINION: null. SENTIMENT: negative #####  . the ui is bland and does nothing to make the app selection and functionality easy to find and use . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: recommend. SENTIMENT: positive #####  . i recommend buying it . ##### IAEO
ASPECT: os. CATEGORY: os operationperformance. OPINION: secure. SENTIMENT: positive #####  . this os is secure , and used for browsing , and basic notes . ##### EAEO
ASPECT: sound, sound. CATEGORY: multimediadevices operationperformance, multimediadevices operationperformance. OPINION: terrible, tinny. SENTIMENT: negative, negative #####  . sound is terrible and tinny . ##### EAEO
ASPECT: screen, screen. CATEGORY: display designfeatures, display designfeatures. OPINION: decent, not great. SENTIMENT: positive, positive #####  . the screen is decent , but not great . ##### EAEO
ASPECT: null, null. CATEGORY: display designfeatures, display designfeatures. OPINION: big, ease. SENTIMENT: positive, positive #####  . the 15 ` ` screen is big and makes working on ease . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: disappointed. SENTIMENT: negative #####  . i am very disappointed with my laptop . ##### EAEO
ASPECT: device. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i ' ll keep my rating at 3 stars , as the issues with the device being heavier than expected and the screen being less than expected for the price being large issues for me . ##### EAIO
ASPECT: chromebook. CATEGORY: laptop price. OPINION: expensive. SENTIMENT: negative #####  . this expensive chromebook is my first chromebook . ##### EAEO
ASPECT: google docs. CATEGORY: software usability. OPINION: comfortable. SENTIMENT: positive #####  . I ' m comfortable using google docs on it . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: amazing. SENTIMENT: positive #####  . what ' s not to like ? it ' s an amazing machine . ##### EAEO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: extendable, happy. SENTIMENT: positive, positive #####  . i ' m happy that this is an extendable laptop . ##### IAEO
ASPECT: devise. CATEGORY: laptop usability. OPINION: null. SENTIMENT: negative #####  . - devise a plan to get it back to the seller for a repair . ##### EAIO
