ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . you definitely will not be disappointed , it is worth the trip from manhattan . ##### IAEO
ASPECT: beer, beer. CATEGORY: drinks quality, drinks quality. OPINION: , and. SENTIMENT: positive, positive #####  . my wife had a beer , and i had a beer , and they were both great . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . we will never return . ##### IAIO
ASPECT: scooner or later. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . . . will prob ' not go back on the scooner or later . ##### EAIO
ASPECT: service. CATEGORY: service general. OPINION: quick. SENTIMENT: positive #####  . the service was quick . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: disappointed. SENTIMENT: negative #####  . i was really looking forward to trying it out and was very disappointed . ##### IAEO
ASPECT: food, salsa. CATEGORY: food quality, food quality. OPINION: fine, fine. SENTIMENT: positive, positive #####  . the food is fine , the salsa is fine . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  go back again . ##### IAIO
ASPECT: food, filet mignon. CATEGORY: food quality, food quality. OPINION: good, best. SENTIMENT: positive, positive #####  , positive ##### EAEO
ASPECT: italian restaurant, italian restaurant. CATEGORY: restaurant general, restaurant general. OPINION: wonderful, happy. SENTIMENT: positive, positive #####  . i came across this italian restaurant on a sunday afternoon and i ' m so glad i stumbled upon it . . . it was a wonderful experience - - i ' m even thinking of going back there for new years eve . . . happy new year ! ##### EAEO
ASPECT: place, pizza, coffee. CATEGORY: ambience general, food quality, food quality. OPINION: cool, best, best. SENTIMENT: positive, positive, positive #####  . this is a cool place to hang out , have pizza and coffee , and the best you ca n ' t go wrong with pizza or coffee . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: neutral #####  , i ' d go back again but i would n ' t go out of my way to do so . ##### IAIO
ASPECT: fish. CATEGORY: food styleoptions. OPINION: wide. SENTIMENT: positive #####  . fish comes with a wide variety of sides to choose from . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: compliment. SENTIMENT: positive #####  . keep up the complimentary dishes ! ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . we were n ' t offered any explanation . ##### IAIO
ASPECT: selection of sakes. CATEGORY: drinks styleoptions. OPINION: great. SENTIMENT: positive #####  . . . there is a great selection of sakes . ##### EAEO
ASPECT: sound views. CATEGORY: location general. OPINION: gorgeous. SENTIMENT: positive #####  . . . gorgeous sound views ##### EAEO
ASPECT: ingrediants. CATEGORY: food quality. OPINION: fresh. SENTIMENT: positive #####  . they use really fresh ingrediants . ##### EAEO
ASPECT: waiter. CATEGORY: service general. OPINION: non - existent. SENTIMENT: negative #####  . waiter ' s non - existent attitude made for a very unpleasant experience . ##### EAEO
ASPECT: manager. CATEGORY: service general. OPINION: disappointment. SENTIMENT: negative #####  . the manager was a huge disappointment . ##### EAEO
ASPECT: sushi, restaurant. CATEGORY: food quality, restaurant general. OPINION: freshest, love. SENTIMENT: positive, positive #####  . i love this restaurant for the freshest sushi i have ever had . ##### EAEO
ASPECT: rolls. CATEGORY: food quality. OPINION: complex. SENTIMENT: positive #####  . the rolls are a complex , wonderful combination of flavors and textures . ##### EAEO
ASPECT: enchiladas, chicken soup. CATEGORY: food quality, food quality. OPINION: love, love. SENTIMENT: positive, positive #####  . i love the enchiladas and the chicken soup . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: tasty. SENTIMENT: positive #####  . i was a little overwhelmed at first but everything tasted so good i kept going back for more . ##### IAEO
